ticker,composite,signal,C_score,A_score,N_score,S_score,L_score,I_score,M_score,breakout_pct,base_pivot,rs_pct,dist_from_hi,C_eps_growth,A_cagr,A_roe,inst_pct,price,sector,industry,error
MU,72.4,WATCH,25.0,19.0,3.09,2.34,15.0,3.0,5.0,11.566549887162392,683.0900268554688,99.00990099009901,0.051678047166657276,7.708,7.56,0.39823002,0.81439,762.1,Technology,Semiconductors,
STX,70.4,MONITOR,25.0,20,1.97,0.47,15.0,3.0,5.0,2.3295175540131163,792.010009765625,95.04950495049505,0.02823705653075652,1.2,1.083,17.8797,0.89055,810.46,Technology,Computer Hardware,
MRVL,68.9,MONITOR,23.0,18.0,3.22,2.72,14.0,3.0,5.0,8.469851610448842,175.8000030517578,94.05940594059405,0.0,0.979,1.063,0.19253999,0.85456,190.69,Technology,Semiconductors,
PANW,68.5,MONITOR,21.0,17.0,6.98,5.48,10.0,3.0,5.0,27.038024421727226,199.08999633789062,77.22772277227723,0.0,0.618,0.605,0.16259001,0.83676004,252.92,Technology,Software - Infrastructure,
WDC,67.0,MONITOR,25.0,20,0.86,0.11,15.0,1.0,5.0,0.5352669857661585,483.8699951171875,97.02970297029702,0.05693741089450821,5.163,4.829,0.85920995,1.01406,486.46,Technology,Computer Hardware,
AMD,66.3,MONITOR,23.0,16.0,2.39,0.89,14.0,5.0,5.0,4.41012307598756,430.6000061035156,92.07920792079209,0.020052773677895912,0.951,0.912,0.08063,0.72248,449.59,Technology,Semiconductors,
CSCO,65.5,MONITOR,19.0,17.0,6.52,3.52,11.5,3.0,5.0,24.788846521263565,94.72000122070312,80.19801980198021,0.005720056535046986,0.354,0.371,0.25229,0.82989,118.2,Technology,Communication Equipment,
DDOG,64.0,PASS,25.0,15.5,3.48,1.98,10.0,3.0,5.0,9.788512882766254,198.60000610351562,78.21782178217822,0.0,1.124835529165046,0.4425088473143568,,,218.04,Unknown,Unknown,
NVDA,63.2,PASS,25.0,20,1.0,0.25,7.0,5.0,5.0,1.235987941313299,216.8300018310547,65.34653465346535,0.06884707986824391,2.106,2.145,1.14288,0.70935994,219.51,Technology,Semiconductors,
NXPI,63.0,PASS,25.0,19.0,1.5,0.0,11.5,1.0,5.0,0.0,303.9100036621094,82.17821782178217,0.034725098260896516,1.29,1.307,0.25812998,1.0074401,299.38,Technology,Semiconductors,
DXCM,62.8,PASS,23.0,19.0,4.42,4.92,5.5,1.0,5.0,14.399368769251787,62.849998474121094,56.43564356435643,0.03334224010642996,0.893,0.922,0.35624,1.02687,71.9,Healthcare,Medical Devices,
CRWD,62.3,PASS,23.0,8.0,7.16,5.66,8.5,5.0,5.0,27.9089898259687,506.7900085449219,73.26732673267327,0.0028918258835785187,0.8503411221266779,0.2298736345364939,-0.04137,0.74977994,648.23,Technology,Software - Infrastructure,
QCOM,61.5,PASS,25.0,19.0,0.0,1.0,8.5,3.0,5.0,0.0,223.66000366210938,74.25742574257426,0.1015450479566533,1.621,1.73,0.36083,0.84734,213.41,Technology,Semiconductors,
BKR,60.8,PASS,25.0,18.0,0.75,0,10.0,2.0,5.0,0.0,70.17534038927853,75.24752475247524,0.05238925517761044,1.313,1.325,0.17184,0.99916,65.8,Energy,Oil & Gas Equipment & Services,
LRCX,60.8,PASS,19.0,18.0,1.79,0,14.0,3.0,5.0,1.4228155148909405,298.0,91.0891089108911,0.0,0.372,0.408,0.66762,0.88302004,302.24,Technology,Semiconductor Equipment & Materials,
GOOG,60.5,PASS,23.0,19.0,1.5,0.0,7.0,5.0,5.0,0.0,397.3550109863281,66.33663366336634,0.039018662266457824,0.812,0.82,0.38884997,0.61569,383.47,Communication Services,Internet Content & Information,
FTNT,59.7,PASS,13.0,16.0,4.58,3.08,13.0,5.0,5.0,15.188190601405926,112.38999938964844,85.14851485148515,0.004153794508713942,0.233,0.286,1.32392,0.72553,129.46,Technology,Software - Infrastructure,
ADI,59.5,PASS,25.0,16.0,0.0,0,11.5,2.0,5.0,0.0,416.0,83.16831683168317,0.11142723365740305,1.065,1.105,0.09639,0.93676,384.21,Technology,Semiconductors,
AMZN,59.5,PASS,23.0,18.0,1.5,0.0,7.0,5.0,5.0,0.0,278.55999755859375,62.37623762376238,0.02374631445214181,0.767,0.748,0.24285,0.68129,268.46,Consumer Cyclical,Internet Retail,
LITE,58.8,PASS,19.0,18.0,0.75,0,15.0,1.0,5.0,0.0,1021.0,96.03960396039604,0.08412383433100577,0.429460714536414,5.855429855768443,0.22834998,1.02801,964.5,Technology,Communication Equipment,
